id,tag_type,tag_id,tag_position,timestamp,timestamp_h
125,CCFFFF20051000,3400E200470FD6906821202F0114,B88A,1725210732268,2024-09-01T17:12:12.267Z
126,CCFFFF20051000,30003BE300000196EAA800000029,BBA6,1725210735751,2024-09-01T17:12:15.751Z
127,CCFFFF20051000,30003BE300000196EAA800000029,BAA7,1725210738659,2024-09-01T17:12:18.659Z
128,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923028507,2024-09-21T12:50:28.505Z
129,CCFFFF20051000,3400E2004703E4C06426FAB20112,BFF5,1726923028960,2024-09-21T12:50:28.959Z
130,CCFFFF20051000,3400E2004703E4C06426FAB20112,B5FF,1726923031011,2024-09-21T12:50:31.010Z
131,CCFFFF20051000,3400E2004703E4C06426FAB20112,BAFA,1726923031474,2024-09-21T12:50:31.474Z
132,CCFFFF20051000,3400E20047,03E4,1726923031970,2024-09-21T12:50:31.969Z
133,C06426FAB20112,"",B8FC,1726923031986,2024-09-21T12:50:31.985Z
134,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923036347,2024-09-21T12:50:36.345Z
135,CCFFFF200510,0510,0510,1726923036843,2024-09-21T12:50:36.842Z
136,003400E2004703,E4C06426FAB20112,C5EF,1726923036856,2024-09-21T12:50:36.856Z
137,CCFFFF20051000,3400E2004703E4C06426FAB20112,BCF8,1726923037772,2024-09-21T12:50:37.771Z
138,CCFFFF20051000,3400E2004703E4C06426FAB201,12BE,1726923038245,2024-09-21T12:50:38.243Z
139,F6,F6,F6,1726923038260,2024-09-21T12:50:38.259Z
140,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923039106,2024-09-21T12:50:39.105Z
141,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923040902,2024-09-21T12:50:40.902Z
142,CCFFFF20051000,34,00E2,1726923041398,2024-09-21T12:50:41.397Z
143,004703E4C06426,FAB20112,B7FD,1726923041414,2024-09-21T12:50:41.414Z
144,CCFFFF20051000,3400E20047,03E4,1726923042036,2024-09-21T12:50:42.035Z
145,C06426FAB20112,"",BBF9,1726923042052,2024-09-21T12:50:42.052Z
146,CCFFFF20051000,3400E200,4703,1726923042628,2024-09-21T12:50:42.627Z
147,E4C06426FAB201,12,B9FB,1726923042644,2024-09-21T12:50:42.644Z
148,CCFFFF20051000,"",3400,1726923043154,2024-09-21T12:50:43.154Z
149,E2004703E4C064,26FAB20112,B8FC,1726923043171,2024-09-21T12:50:43.170Z
150,CCFFFF20051000,3400E2004703E4C06426FAB20112,BAFA,1726923046231,2024-09-21T12:50:46.230Z
151,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923046335,2024-09-21T12:50:46.335Z
152,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923047454,2024-09-21T12:50:47.453Z
153,CCFFFF20051000,3400E20047,03E4,1726923048605,2024-09-21T12:50:48.604Z
154,C06426FAB20112,"",B7FD,1726923048621,2024-09-21T12:50:48.620Z
155,CCFFFF20051000,3400E2004703E4C06426,FAB2,1726923049516,2024-09-21T12:50:49.515Z
156,0112B7FD,B7FD,B7FD,1726923049532,2024-09-21T12:50:49.531Z
157,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923052456,2024-09-21T12:50:52.455Z
158,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923052752,2024-09-21T12:50:52.751Z
159,CCFFFF20051000,3400E2004703E4C06426FAB20112,BCF8,1726923053806,2024-09-21T12:50:53.806Z
160,CCFFFF20051000,3400E20047,03E4,1726923054533,2024-09-21T12:50:54.532Z
161,C06426FAB20112,"",B7FD,1726923054549,2024-09-21T12:50:54.548Z
162,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923054684,2024-09-21T12:50:54.684Z
163,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923054997,2024-09-21T12:50:54.996Z
164,CCFFFF20051000,3400E2004703E4C06426FAB20112,BCF8,1726923055507,2024-09-21T12:50:55.507Z
165,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923055547,2024-09-21T12:50:55.547Z
166,CCFFFF20,FF20,FF20,1726923056834,2024-09-21T12:50:56.833Z
167,0510003400E200,4703E4C06426FAB20112,B8FC,1726923056851,2024-09-21T12:50:56.850Z
168,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923057329,2024-09-21T12:50:57.328Z
169,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923067467,2024-09-21T12:51:07.466Z
170,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923072125,2024-09-21T12:51:12.124Z
171,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923074985,2024-09-21T12:51:14.984Z
172,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923076119,2024-09-21T12:51:16.118Z
173,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923078053,2024-09-21T12:51:18.052Z
174,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923078582,2024-09-21T12:51:18.579Z
175,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923079268,2024-09-21T12:51:19.267Z
176,CCFFFF20051000,3400E2004703E4C06426FAB20112,BDF7,1726923079875,2024-09-21T12:51:19.874Z
177,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923080338,2024-09-21T12:51:20.337Z
178,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923081696,2024-09-21T12:51:21.695Z
179,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923082191,2024-09-21T12:51:22.190Z
180,CCFFFF20051000,00,0034,1726923082846,2024-09-21T12:51:22.845Z
